Year,Team,Record,Wins,Losses,Win%
2009-10,CHI,41-41,41,41,0.5
2008-09,CHI,41-41,41,41,0.5
2007-08,CHI,33-49,33,49,0.402
2006-07,CHI,49-33,49,33,0.598
2005-06,CHI,41-41,41,41,0.5
2004-05,CHI,47-35,47,35,0.573
2003-04,CHI,23-59,23,59,0.28
2002-03,CHI,30-52,30,52,0.366
2001-02,CHI,21-61,21,61,0.256
2000-01,CHI,15-67,15,67,0.183
1999-00,CHI,17-65,17,65,0.207
1998-99 *,CHI,13-37,13,37,0.26
1997-98,CHI,62-20,62,20,0.756
1996-97,CHI,69-13,69,13,0.841
1995-96,CHI,72-10,72,10,0.878
1994-95,CHI,47-35,47,35,0.573
1993-94,CHI,55-27,55,27,0.671
1992-93,CHI,57-25,57,25,0.695
1991-92,CHI,67-15,67,15,0.817
1990-91,CHI,61-21,61,21,0.744
1989-90,CHI,55-27,55,27,0.671
1988-89,CHI,47-35,47,35,0.573
1987-88,CHI,50-32,50,32,0.61
1986-87,CHI,40-42,40,42,0.488
1985-86,CHI,30-52,30,52,0.366
1984-85,CHI,38-44,38,44,0.463
1983-84,CHI,27-55,27,55,0.329
1982-83,CHI,28-54,28,54,0.341
1981-82,CHI,34-48,34,48,0.415
1980-81,CHI,45-37,45,37,0.549
2017-18,CLE,50-32,50,32,0.61
2016-17,CLE,51-31,51,31,0.622
2015-16,CLE,57-25,57,25,0.695
2014-15,CLE,53-29,53,29,0.646
2013-14,CLE,33-49,33,49,0.402
2012-13,CLE,24-58,24,58,0.293
2011-12 *,CLE,21-45,21,45,0.318
2010-11,CLE,19-63,19,63,0.232
2009-10,CLE,61-21,61,21,0.744
2008-09,CLE,66-16,66,16,0.805
2007-08,CLE,45-37,45,37,0.549
2006-07,CLE,50-32,50,32,0.61
2005-06,CLE,50-32,50,32,0.61
2004-05,CLE,42-40,42,40,0.512
2003-04,CLE,35-47,35,47,0.427
2002-03,CLE,17-65,17,65,0.207
2001-02,CLE,29-53,29,53,0.354
2000-01,CLE,30-52,30,52,0.366
1999-00,CLE,32-50,32,50,0.39
1998-99 *,CLE,22-28,22,28,0.44
1997-98,CLE,47-35,47,35,0.573
1996-97,CLE,42-40,42,40,0.512
1995-96,CLE,47-35,47,35,0.573
1994-95,CLE,43-39,43,39,0.524
1993-94,CLE,47-35,47,35,0.573
1992-93,CLE,54-28,54,28,0.659
1991-92,CLE,57-25,57,25,0.695
1990-91,CLE,33-49,33,49,0.402
1989-90,CLE,42-40,42,40,0.512
1988-89,CLE,57-25,57,25,0.695
1987-88,CLE,42-40,42,40,0.512
1986-87,CLE,31-51,31,51,0.378
1985-86,CLE,29-53,29,53,0.354
1984-85,CLE,36-46,36,46,0.439
1983-84,CLE,28-54,28,54,0.341
1982-83,CLE,23-59,23,59,0.28
1981-82,CLE,15-67,15,67,0.183
2017-18,DAL,24-58,24,58,0.293
2016-17,DAL,33-49,33,49,0.402
2015-16,DAL,42-40,42,40,0.512
2014-15,DAL,50-32,50,32,0.61
2013-14,DAL,49-33,49,33,0.598
2012-13,DAL,41-41,41,41,0.5
2011-12 *,DAL,36-30,36,30,0.545
2010-11,DAL,57-25,57,25,0.695
2009-10,DAL,55-27,55,27,0.671
2008-09,DAL,50-32,50,32,0.61
2007-08,DAL,51-31,51,31,0.622
2006-07,DAL,67-15,67,15,0.817
2005-06,DAL,60-22,60,22,0.732
2004-05,DAL,58-24,58,24,0.707
2003-04,DAL,52-30,52,30,0.634
2002-03,DAL,60-22,60,22,0.732
2001-02,DAL,57-25,57,25,0.695
2000-01,DAL,53-29,53,29,0.646
1999-00,DAL,40-42,40,42,0.488
1998-99 *,DAL,19-31,19,31,0.38
1997-98,DAL,20-62,20,62,0.244
1996-97,DAL,24-58,24,58,0.293
1995-96,DAL,26-56,26,56,0.317
1994-95,DAL,36-46,36,46,0.439
1993-94,DAL,13-69,13,69,0.159
1992-93,DAL,Nov-71,Nov-71,,0.134
1991-92,DAL,22-60,22,60,0.268
1990-91,DAL,28-54,28,54,0.341
1989-90,DAL,47-35,47,35,0.573
1988-89,DAL,38-44,38,44,0.463
1987-88,DAL,53-29,53,29,0.646
1986-87,DAL,55-27,55,27,0.671
1985-86,DAL,44-38,44,38,0.537
1984-85,DAL,44-38,44,38,0.537
1983-84,DAL,43-39,43,39,0.524
1982-83,DAL,38-44,38,44,0.463
1981-82,DAL,28-54,28,54,0.341
1980-81,DAL,15-67,15,67,0.183
2017-18,DEN,46-36,46,36,0.561
2016-17,DEN,40-42,40,42,0.488
2015-16,DEN,33-49,33,49,0.402
2014-15,DEN,30-52,30,52,0.366
2013-14,DEN,36-46,36,46,0.439
2012-13,DEN,57-25,57,25,0.695
2011-12 *,DEN,38-28,38,28,0.576
2010-11,DEN,50-32,50,32,0.61
2009-10,DEN,53-29,53,29,0.646
2008-09,DEN,54-28,54,28,0.659
2007-08,DEN,50-32,50,32,0.61
2006-07,DEN,45-37,45,37,0.549
2005-06,DEN,44-38,44,38,0.537
2004-05,DEN,49-33,49,33,0.598
2003-04,DEN,43-39,43,39,0.524
2002-03,DEN,17-65,17,65,0.207
2001-02,DEN,27-55,27,55,0.329
2000-01,DEN,40-42,40,42,0.488
1999-00,DEN,35-47,35,47,0.427
1998-99 *,DEN,14-36,14,36,0.28
1997-98,DEN,Nov-71,Nov-71,,0.134
1996-97,DEN,21-61,21,61,0.256
1995-96,DEN,35-47,35,47,0.427
1994-95,DEN,41-41,41,41,0.5
1993-94,DEN,42-40,42,40,0.512
1992-93,DEN,36-46,36,46,0.439
1991-92,DEN,24-58,24,58,0.293
1990-91,DEN,20-62,20,62,0.244
1989-90,DEN,43-39,43,39,0.524
1988-89,DEN,44-38,44,38,0.537
1987-88,DEN,54-28,54,28,0.659
1986-87,DEN,37-45,37,45,0.451
1985-86,DEN,47-35,47,35,0.573
1984-85,DEN,52-30,52,30,0.634
1983-84,DEN,38-44,38,44,0.463
1982-83,DEN,45-37,45,37,0.549
1981-82,DEN,46-36,46,36,0.561
1980-81,DEN,37-45,37,45,0.451
2017-18,DET,39-43,39,43,0.476
2016-17,DET,37-45,37,45,0.451
2015-16,DET,44-38,44,38,0.537
2014-15,DET,32-50,32,50,0.39
2013-14,DET,29-53,29,53,0.354
2012-13,DET,29-53,29,53,0.354
2011-12 *,DET,25-41,25,41,0.379
2010-11,DET,30-52,30,52,0.366
2009-10,DET,27-55,27,55,0.329
2008-09,DET,39-43,39,43,0.476
2007-08,DET,59-23,59,23,0.72
2006-07,DET,53-29,53,29,0.646
2005-06,DET,64-18,64,18,0.78
2004-05,DET,54-28,54,28,0.659
2003-04,DET,54-28,54,28,0.659
2002-03,DET,50-32,50,32,0.61
2001-02,DET,50-32,50,32,0.61
2000-01,DET,32-50,32,50,0.39
1999-00,DET,42-40,42,40,0.512
1998-99 *,DET,29-21,29,21,0.58
1997-98,DET,37-45,37,45,0.451
1996-97,DET,54-28,54,28,0.659
1995-96,DET,46-36,46,36,0.561
1994-95,DET,28-54,28,54,0.341
1993-94,DET,20-62,20,62,0.244
1992-93,DET,40-42,40,42,0.488
1991-92,DET,48-34,48,34,0.585
1990-91,DET,50-32,50,32,0.61
1989-90,DET,59-23,59,23,0.72
1988-89,DET,63-19,63,19,0.768
1987-88,DET,54-28,54,28,0.659
1986-87,DET,52-30,52,30,0.634
1985-86,DET,46-36,46,36,0.561
1984-85,DET,46-36,46,36,0.561
1983-84,DET,49-33,49,33,0.598
1982-83,DET,37-45,37,45,0.451
1981-82,DET,39-43,39,43,0.476
1980-81,DET,21-61,21,61,0.256
1979-80,DET,16-66,16,66,0.195
2017-18,GSW,58-24,58,24,0.707
2016-17,GSW,67-15,67,15,0.817
2015-16,GSW,73-9,73,9,0.89
2014-15,GSW,67-15,67,15,0.817
2013-14,GSW,51-31,51,31,0.622
2012-13,GSW,47-35,47,35,0.573
2011-12 *,GSW,23-43,23,43,0.348
2010-11,GSW,36-46,36,46,0.439
2009-10,GSW,26-56,26,56,0.317
2008-09,GSW,29-53,29,53,0.354
2007-08,GSW,48-34,48,34,0.585
2006-07,GSW,42-40,42,40,0.512
2005-06,GSW,34-48,34,48,0.415
2004-05,GSW,34-48,34,48,0.415
2003-04,GSW,37-45,37,45,0.451
2002-03,GSW,38-44,38,44,0.463
2001-02,GSW,21-61,21,61,0.256
2000-01,GSW,17-65,17,65,0.207
1999-00,GSW,19-63,19,63,0.232
1998-99 *,GSW,21-29,21,29,0.42
1997-98,GSW,19-63,19,63,0.232
1996-97,GSW,30-52,30,52,0.366
1995-96,GSW,36-46,36,46,0.439
1994-95,GSW,26-56,26,56,0.317
1993-94,GSW,50-32,50,32,0.61
1992-93,GSW,34-48,34,48,0.415
1991-92,GSW,55-27,55,27,0.671
1990-91,GSW,44-38,44,38,0.537
1989-90,GSW,37-45,37,45,0.451
1988-89,GSW,43-39,43,39,0.524
1987-88,GSW,20-62,20,62,0.244
1986-87,GSW,42-40,42,40,0.512
1985-86,GSW,30-52,30,52,0.366
1984-85,GSW,22-60,22,60,0.268
1983-84,GSW,37-45,37,45,0.451
1982-83,GSW,30-52,30,52,0.366
1981-82,GSW,45-37,45,37,0.549
1980-81,GSW,39-43,39,43,0.476
2017-18,HOU,65-17,65,17,0.793
2016-17,HOU,55-27,55,27,0.671
2015-16,HOU,41-41,41,41,0.5
2014-15,HOU,56-26,56,26,0.683
2013-14,HOU,54-28,54,28,0.659
2012-13,HOU,45-37,45,37,0.549
2011-12 *,HOU,34-32,34,32,0.515
2010-11,HOU,43-39,43,39,0.524
2009-10,HOU,42-40,42,40,0.512
2008-09,HOU,53-29,53,29,0.646
2007-08,HOU,55-27,55,27,0.671
2006-07,HOU,52-30,52,30,0.634
2005-06,HOU,34-48,34,48,0.415
2004-05,HOU,51-31,51,31,0.622
2003-04,HOU,45-37,45,37,0.549
2002-03,HOU,43-39,43,39,0.524
2001-02,HOU,28-54,28,54,0.341
2000-01,HOU,45-37,45,37,0.549
1999-00,HOU,34-48,34,48,0.415
1998-99 *,HOU,31-19,31,19,0.62
1997-98,HOU,41-41,41,41,0.5
1996-97,HOU,57-25,57,25,0.695
1995-96,HOU,48-34,48,34,0.585
1994-95,HOU,47-35,47,35,0.573
1993-94,HOU,58-24,58,24,0.707
1992-93,HOU,55-27,55,27,0.671
1991-92,HOU,42-40,42,40,0.512
1990-91,HOU,52-30,52,30,0.634
1989-90,HOU,41-41,41,41,0.5
1988-89,HOU,45-37,45,37,0.549
1987-88,HOU,46-36,46,36,0.561
1986-87,HOU,42-40,42,40,0.512
1985-86,HOU,51-31,51,31,0.622
1984-85,HOU,48-34,48,34,0.585
1983-84,HOU,29-53,29,53,0.354
1982-83,HOU,14-68,14,68,0.171
1981-82,HOU,46-36,46,36,0.561
1980-81,HOU,40-42,40,42,0.488
2017-18,IND,48-34,48,34,0.585
2016-17,IND,42-40,42,40,0.512
2015-16,IND,45-37,45,37,0.549
2014-15,IND,38-44,38,44,0.463
2013-14,IND,56-26,56,26,0.683
2012-13,IND,49-32,49,32,0.605
2011-12 *,IND,42-24,42,24,0.636
2010-11,IND,37-45,37,45,0.451
2009-10,IND,32-50,32,50,0.39
2008-09,IND,36-46,36,46,0.439
2007-08,IND,36-46,36,46,0.439
2006-07,IND,35-47,35,47,0.427
2005-06,IND,41-41,41,41,0.5
2004-05,IND,44-38,44,38,0.537
2003-04,IND,61-21,61,21,0.744
2002-03,IND,48-34,48,34,0.585
2001-02,IND,42-40,42,40,0.512
2000-01,IND,41-41,41,41,0.5
1999-00,IND,56-26,56,26,0.683
1998-99 *,IND,33-17,33,17,0.66
