Year,Team,Record,Wins,Losses,Win%
2014-15,NYK,17-65,17,65,0.207
2013-14,NYK,37-45,37,45,0.451
2012-13,NYK,54-28,54,28,0.659
2011-12 *,NYK,36-30,36,30,0.545
2010-11,NYK,42-40,42,40,0.512
2009-10,NYK,29-53,29,53,0.354
2008-09,NYK,32-50,32,50,0.39
2007-08,NYK,23-59,23,59,0.28
2006-07,NYK,33-49,33,49,0.402
2005-06,NYK,23-59,23,59,0.28
2004-05,NYK,33-49,33,49,0.402
2003-04,NYK,39-43,39,43,0.476
2002-03,NYK,37-45,37,45,0.451
2001-02,NYK,30-52,30,52,0.366
2000-01,NYK,48-34,48,34,0.585
1999-00,NYK,50-32,50,32,0.61
1998-99 *,NYK,27-23,27,23,0.54
1997-98,NYK,43-39,43,39,0.524
1996-97,NYK,57-25,57,25,0.695
1995-96,NYK,47-35,47,35,0.573
1994-95,NYK,55-27,55,27,0.671
1993-94,NYK,57-25,57,25,0.695
1992-93,NYK,60-22,60,22,0.732
1991-92,NYK,51-31,51,31,0.622
1990-91,NYK,39-43,39,43,0.476
1989-90,NYK,45-37,45,37,0.549
1988-89,NYK,52-30,52,30,0.634
1987-88,NYK,38-44,38,44,0.463
1986-87,NYK,24-58,24,58,0.293
1985-86,NYK,23-59,23,59,0.28
1984-85,NYK,24-58,24,58,0.293
1983-84,NYK,47-35,47,35,0.573
1982-83,NYK,44-38,44,38,0.537
1981-82,NYK,33-49,33,49,0.402
1980-81,NYK,50-32,50,32,0.61
2017-18,OKC,48-34,48,34,0.585
2016-17,OKC,47-35,47,35,0.573
2015-16,OKC,55-27,55,27,0.671
2014-15,OKC,45-37,45,37,0.549
2013-14,OKC,59-23,59,23,0.72
2012-13,OKC,60-22,60,22,0.732
2011-12 *,OKC,47-19,47,19,0.712
2010-11,OKC,55-27,55,27,0.671
2009-10,OKC,50-32,50,32,0.61
2008-09,OKC,23-59,23,59,0.28
2007-08,SEA,20-62,20,62,0.244
2006-07,SEA,31-51,31,51,0.378
2005-06,SEA,35-47,35,47,0.427
2004-05,SEA,52-30,52,30,0.634
2003-04,SEA,37-45,37,45,0.451
2002-03,SEA,40-42,40,42,0.488
2001-02,SEA,45-37,45,37,0.549
2000-01,SEA,44-38,44,38,0.537
1999-00,SEA,45-37,45,37,0.549
1998-99 *,SEA,25-25,25,25,0.5
1997-98,SEA,61-21,61,21,0.744
1996-97,SEA,57-25,57,25,0.695
1995-96,SEA,64-18,64,18,0.78
1994-95,SEA,57-25,57,25,0.695
1993-94,SEA,63-19,63,19,0.768
1992-93,SEA,55-27,55,27,0.671
1991-92,SEA,47-35,47,35,0.573
1990-91,SEA,41-41,41,41,0.5
1989-90,SEA,41-41,41,41,0.5
1988-89,SEA,47-35,47,35,0.573
1987-88,SEA,44-38,44,38,0.537
1986-87,SEA,39-43,39,43,0.476
1985-86,SEA,31-51,31,51,0.378
1984-85,SEA,31-51,31,51,0.378
1983-84,SEA,42-40,42,40,0.512
1982-83,SEA,48-34,48,34,0.585
1981-82,SEA,52-30,52,30,0.634
1980-81,SEA,34-48,34,48,0.415
2017-18,ORL,25-57,25,57,0.305
2016-17,ORL,29-53,29,53,0.354
2015-16,ORL,35-47,35,47,0.427
2014-15,ORL,25-57,25,57,0.305
2013-14,ORL,23-59,23,59,0.28
2012-13,ORL,20-62,20,62,0.244
2011-12 *,ORL,37-29,37,29,0.561
2010-11,ORL,52-30,52,30,0.634
2009-10,ORL,59-23,59,23,0.72
2008-09,ORL,59-23,59,23,0.72
2007-08,ORL,52-30,52,30,0.634
2006-07,ORL,40-42,40,42,0.488
2005-06,ORL,36-46,36,46,0.439
2004-05,ORL,36-46,36,46,0.439
2003-04,ORL,21-61,21,61,0.256
2002-03,ORL,42-40,42,40,0.512
2001-02,ORL,44-38,44,38,0.537
2000-01,ORL,43-39,43,39,0.524
1999-00,ORL,41-41,41,41,0.5
1998-99 *,ORL,33-17,33,17,0.66
1997-98,ORL,41-41,41,41,0.5
1996-97,ORL,45-37,45,37,0.549
1995-96,ORL,60-22,60,22,0.732
1994-95,ORL,57-25,57,25,0.695
1993-94,ORL,50-32,50,32,0.61
1992-93,ORL,41-41,41,41,0.5
1991-92,ORL,21-61,21,61,0.256
1990-91,ORL,31-51,31,51,0.378
1989-90,ORL,18-64,18,64,0.22
2017-18,PHI,52-30,52,30,0.634
2016-17,PHI,28-54,28,54,0.341
2015-16,PHI,Oct-72,Oct-72,,0.122
2014-15,PHI,18-64,18,64,0.22
2013-14,PHI,19-63,19,63,0.232
2012-13,PHI,34-48,34,48,0.415
2011-12 *,PHI,35-31,35,31,0.53
2010-11,PHI,41-41,41,41,0.5
2009-10,PHI,27-55,27,55,0.329
2008-09,PHI,41-41,41,41,0.5
2007-08,PHI,40-42,40,42,0.488
2006-07,PHI,35-47,35,47,0.427
2005-06,PHI,38-44,38,44,0.463
2004-05,PHI,43-39,43,39,0.524
2003-04,PHI,33-49,33,49,0.402
2002-03,PHI,48-34,48,34,0.585
2001-02,PHI,43-39,43,39,0.524
2000-01,PHI,56-26,56,26,0.683
1999-00,PHI,49-33,49,33,0.598
1998-99 *,PHI,28-22,28,22,0.56
1997-98,PHI,31-51,31,51,0.378
1996-97,PHI,22-60,22,60,0.268
1995-96,PHI,18-64,18,64,0.22
1994-95,PHI,24-58,24,58,0.293
1993-94,PHI,25-57,25,57,0.305
1992-93,PHI,26-56,26,56,0.317
1991-92,PHI,35-47,35,47,0.427
1990-91,PHI,44-38,44,38,0.537
1989-90,PHI,53-29,53,29,0.646
1988-89,PHI,46-36,46,36,0.561
1987-88,PHI,36-46,36,46,0.439
1986-87,PHI,45-37,45,37,0.549
1985-86,PHI,54-28,54,28,0.659
1984-85,PHI,58-24,58,24,0.707
1983-84,PHI,52-30,52,30,0.634
1982-83,PHI,65-17,65,17,0.793
1981-82,PHI,58-24,58,24,0.707
1980-81,PHI,62-20,62,20,0.756
2017-18,PHO,21-61,21,61,0.256
2016-17,PHO,24-58,24,58,0.293
2015-16,PHO,23-59,23,59,0.28
2014-15,PHO,39-43,39,43,0.476
2013-14,PHO,48-34,48,34,0.585
2012-13,PHO,25-57,25,57,0.305
2011-12 *,PHO,33-33,33,33,0.5
2010-11,PHO,40-42,40,42,0.488
2009-10,PHO,54-28,54,28,0.659
2008-09,PHO,46-36,46,36,0.561
2007-08,PHO,55-27,55,27,0.671
2006-07,PHO,61-21,61,21,0.744
2005-06,PHO,54-28,54,28,0.659
2004-05,PHO,62-20,62,20,0.756
2003-04,PHO,29-53,29,53,0.354
2002-03,PHO,44-38,44,38,0.537
2001-02,PHO,36-46,36,46,0.439
2000-01,PHO,51-31,51,31,0.622
1999-00,PHO,53-29,53,29,0.646
1998-99 *,PHO,27-23,27,23,0.54
1997-98,PHO,56-26,56,26,0.683
1996-97,PHO,40-42,40,42,0.488
1995-96,PHO,41-41,41,41,0.5
1994-95,PHO,59-23,59,23,0.72
1993-94,PHO,56-26,56,26,0.683
1992-93,PHO,62-20,62,20,0.756
1991-92,PHO,53-29,53,29,0.646
1990-91,PHO,55-27,55,27,0.671
1989-90,PHO,54-28,54,28,0.659
1988-89,PHO,55-27,55,27,0.671
1987-88,PHO,28-54,28,54,0.341
1986-87,PHO,36-46,36,46,0.439
1985-86,PHO,32-50,32,50,0.39
1984-85,PHO,36-46,36,46,0.439
1983-84,PHO,41-41,41,41,0.5
1982-83,PHO,53-29,53,29,0.646
1981-82,PHO,46-36,46,36,0.561
1980-81,PHO,57-25,57,25,0.695
2017-18,POR,49-33,49,33,0.598
2016-17,POR,41-41,41,41,0.5
2015-16,POR,44-38,44,38,0.537
2014-15,POR,51-31,51,31,0.622
2013-14,POR,54-28,54,28,0.659
2012-13,POR,33-49,33,49,0.402
2011-12 *,POR,28-38,28,38,0.424
2010-11,POR,48-34,48,34,0.585
2009-10,POR,50-32,50,32,0.61
2008-09,POR,54-28,54,28,0.659
2007-08,POR,41-41,41,41,0.5
2006-07,POR,32-50,32,50,0.39
2005-06,POR,21-61,21,61,0.256
2004-05,POR,27-55,27,55,0.329
2003-04,POR,41-41,41,41,0.5
2002-03,POR,50-32,50,32,0.61
2001-02,POR,49-33,49,33,0.598
2000-01,POR,50-32,50,32,0.61
1999-00,POR,59-23,59,23,0.72
1998-99 *,POR,35-15,35,15,0.7
1997-98,POR,46-36,46,36,0.561
1996-97,POR,49-33,49,33,0.598
1995-96,POR,44-38,44,38,0.537
1994-95,POR,44-38,44,38,0.537
1993-94,POR,47-35,47,35,0.573
1992-93,POR,51-31,51,31,0.622
1991-92,POR,57-25,57,25,0.695
1990-91,POR,63-19,63,19,0.768
1989-90,POR,59-23,59,23,0.72
1988-89,POR,39-43,39,43,0.476
1987-88,POR,53-29,53,29,0.646
1986-87,POR,49-33,49,33,0.598
1985-86,POR,40-42,40,42,0.488
1984-85,POR,42-40,42,40,0.512
1983-84,POR,48-34,48,34,0.585
1982-83,POR,46-36,46,36,0.561
1981-82,POR,42-40,42,40,0.512
1980-81,POR,45-37,45,37,0.549
2017-18,SAC,27-55,27,55,0.329
2016-17,SAC,32-50,32,50,0.39
2015-16,SAC,33-49,33,49,0.402
2014-15,SAC,29-53,29,53,0.354
2013-14,SAC,28-54,28,54,0.341
2012-13,SAC,28-54,28,54,0.341
2011-12 *,SAC,22-44,22,44,0.333
2010-11,SAC,24-58,24,58,0.293
2009-10,SAC,25-57,25,57,0.305
2008-09,SAC,17-65,17,65,0.207
2007-08,SAC,38-44,38,44,0.463
2006-07,SAC,33-49,33,49,0.402
2005-06,SAC,44-38,44,38,0.537
2004-05,SAC,50-32,50,32,0.61
2003-04,SAC,55-27,55,27,0.671
2002-03,SAC,59-23,59,23,0.72
2001-02,SAC,61-21,61,21,0.744
2000-01,SAC,55-27,55,27,0.671
1999-00,SAC,44-38,44,38,0.537
1998-99 *,SAC,27-23,27,23,0.54
1997-98,SAC,27-55,27,55,0.329
1996-97,SAC,34-48,34,48,0.415
1995-96,SAC,39-43,39,43,0.476
1994-95,SAC,39-43,39,43,0.476
1993-94,SAC,28-54,28,54,0.341
1992-93,SAC,25-57,25,57,0.305
1991-92,SAC,29-53,29,53,0.354
1990-91,SAC,25-57,25,57,0.305
1989-90,SAC,23-59,23,59,0.28
1988-89,SAC,27-55,27,55,0.329
1987-88,SAC,24-58,24,58,0.293
1986-87,SAC,29-53,29,53,0.354
1985-86,SAC,37-45,37,45,0.451
1984-85,SAC,31-51,31,51,0.378
1983-84,SAC,38-44,38,44,0.463
1982-83,SAC,45-37,45,37,0.549
1981-82,SAC,30-52,30,52,0.366
1980-81,SAC,40-42,40,42,0.488
2017-18,SAS,47-35,47,35,0.573
2016-17,SAS,61-21,61,21,0.744
2015-16,SAS,67-15,67,15,0.817
2014-15,SAS,55-27,55,27,0.671
2013-14,SAS,62-20,62,20,0.756
2012-13,SAS,58-24,58,24,0.707
2011-12 *,SAS,50-16,50,16,0.758
2010-11,SAS,61-21,61,21,0.744
2009-10,SAS,50-32,50,32,0.61
2008-09,SAS,54-28,54,28,0.659
2007-08,SAS,56-26,56,26,0.683
2006-07,SAS,58-24,58,24,0.707
2005-06,SAS,63-19,63,19,0.768
2004-05,SAS,59-23,59,23,0.72
2003-04,SAS,57-25,57,25,0.695
2002-03,SAS,60-22,60,22,0.732
2001-02,SAS,58-24,58,24,0.707
2000-01,SAS,58-24,58,24,0.707
1999-00,SAS,53-29,53,29,0.646
1998-99 *,SAS,37-13,37,13,0.74
1997-98,SAS,56-26,56,26,0.683
1996-97,SAS,20-62,20,62,0.244
1995-96,SAS,59-23,59,23,0.72
1994-95,SAS,62-20,62,20,0.756
1993-94,SAS,55-27,55,27,0.671
1992-93,SAS,49-33,49,33,0.598
1991-92,SAS,47-35,47,35,0.573
1990-91,SAS,55-27,55,27,0.671
1989-90,SAS,56-26,56,26,0.683
1988-89,SAS,21-61,21,61,0.256
1987-88,SAS,31-51,31,51,0.378
1986-87,SAS,28-54,28,54,0.341
1985-86,SAS,35-47,35,47,0.427
1984-85,SAS,41-41,41,41,0.5
1983-84,SAS,37-45,37,45,0.451
1982-83,SAS,53-29,53,29,0.646
1981-82,SAS,48-34,48,34,0.585
1980-81,SAS,52-30,52,30,0.634
1979-80,SAS,41-41,41,41,0.5
2017-18,TOR,59-23,59,23,0.72
2016-17,TOR,51-31,51,31,0.622
2015-16,TOR,56-26,56,26,0.683
2014-15,TOR,49-33,49,33,0.598
2013-14,TOR,48-34,48,34,0.585
2012-13,TOR,34-48,34,48,0.415
2011-12 *,TOR,23-43,23,43,0.348
2010-11,TOR,22-60,22,60,0.268
2009-10,TOR,40-42,40,42,0.488
2008-09,TOR,33-49,33,49,0.402
2007-08,TOR,41-41,41,41,0.5
2006-07,TOR,47-35,47,35,0.573
2005-06,TOR,27-55,27,55,0.329
2004-05,TOR,33-49,33,49,0.402
2003-04,TOR,33-49,33,49,0.402
2002-03,TOR,24-58,24,58,0.293
2001-02,TOR,42-40,42,40,0.512
2000-01,TOR,47-35,47,35,0.573
1999-00,TOR,45-37,45,37,0.549
1998-99 *,TOR,23-27,23,27,0.46
1997-98,TOR,16-66,16,66,0.195
1996-97,TOR,30-52,30,52,0.366
1995-96,TOR,21-61,21,61,0.256
2017-18,UTA,48-34,48,34,0.585
2016-17,UTA,51-31,51,31,0.622
2015-16,UTA,40-42,40,42,0.488
2014-15,UTA,38-44,38,44,0.463
2013-14,UTA,25-57,25,57,0.305
2012-13,UTA,43-39,43,39,0.524
2011-12 *,UTA,36-30,36,30,0.545
2010-11,UTA,39-43,39,43,0.476
2009-10,UTA,53-29,53,29,0.646
2008-09,UTA,48-34,48,34,0.585
2007-08,UTA,54-28,54,28,0.659
2006-07,UTA,51-31,51,31,0.622
2005-06,UTA,41-41,41,41,0.5
2004-05,UTA,26-56,26,56,0.317
2003-04,UTA,42-40,42,40,0.512
2002-03,UTA,47-35,47,35,0.573
2001-02,UTA,44-38,44,38,0.537
2000-01,UTA,53-29,53,29,0.646
1999-00,UTA,55-27,55,27,0.671
1998-99 *,UTA,37-13,37,13,0.74
1997-98,UTA,62-20,62,20,0.756
1996-97,UTA,64-18,64,18,0.78
1995-96,UTA,55-27,55,27,0.671
1994-95,UTA,60-22,60,22,0.732
1993-94,UTA,53-29,53,29,0.646
1992-93,UTA,47-35,47,35,0.573
1991-92,UTA,55-27,55,27,0.671
1990-91,UTA,54-28,54,28,0.659
1989-90,UTA,55-27,55,27,0.671
1988-89,UTA,51-31,51,31,0.622
1987-88,UTA,47-35,47,35,0.573
1986-87,UTA,44-38,44,38,0.537
1985-86,UTA,42-40,42,40,0.512
1984-85,UTA,41-41,41,41,0.5
1983-84,UTA,45-37,45,37,0.549
1982-83,UTA,30-52,30,52,0.366
1981-82,UTA,25-57,25,57,0.305
1980-81,UTA,28-54,28,54,0.341
2017-18,WAS,43-39,43,39,0.524
2016-17,WAS,49-33,49,33,0.598
2015-16,WAS,41-41,41,41,0.5
2014-15,WAS,46-36,46,36,0.561
2013-14,WAS,44-38,44,38,0.537
2012-13,WAS,29-53,29,53,0.354
2011-12 *,WAS,20-46,20,46,0.303
2010-11,WAS,23-59,23,59,0.28
2009-10,WAS,26-56,26,56,0.317
2008-09,WAS,19-63,19,63,0.232
2007-08,WAS,43-39,43,39,0.524
2006-07,WAS,41-41,41,41,0.5
2005-06,WAS,42-40,42,40,0.512
2004-05,WAS,45-37,45,37,0.549
2003-04,WAS,25-57,25,57,0.305
2002-03,WAS,37-45,37,45,0.451
2001-02,WAS,37-45,37,45,0.451
2000-01,WAS,19-63,19,63,0.232
1999-00,WAS,29-53,29,53,0.354
1998-99 *,WAS,18-32,18,32,0.36
1997-98,WAS,42-40,42,40,0.512
1996-97,WAS,44-38,44,38,0.537
1995-96,WAS,39-43,39,43,0.476
1994-95,WAS,21-61,21,61,0.256
1993-94,WAS,24-58,24,58,0.293
1992-93,WAS,22-60,22,60,0.268
1991-92,WAS,25-57,25,57,0.305
1990-91,WAS,30-52,30,52,0.366
1989-90,WAS,31-51,31,51,0.378
1988-89,WAS,40-42,40,42,0.488
1987-88,WAS,38-44,38,44,0.463
1986-87,WAS,42-40,42,40,0.512
1985-86,WAS,39-43,39,43,0.476
1984-85,WAS,40-42,40,42,0.488
1983-84,WAS,35-47,35,47,0.427
1982-83,WAS,42-40,42,40,0.512
1981-82,WAS,43-39,43,39,0.524
1980-81,WAS,39-43,39,43,0.476
