year,team,win_percent,wins,losses
2014-15,PHI,0.22,18,64
2013-14,PHI,0.23199999999999998,19,63
2012-13,PHI,0.415,34,48
2011-12 ,PHI,0.53,35,31
2010-11,PHI,0.5,41,41
2009-10,PHI,0.32899999999999996,27,55
2008-09,PHI,0.5,41,41
2007-08,PHI,0.488,40,42
2006-07,PHI,0.42700000000000005,35,47
2005-06,PHI,0.46299999999999997,38,44
2004-05,PHI,0.524,43,39
2003-04,PHI,0.402,33,49
2002-03,PHI,0.585,48,34
2001-02,PHI,0.524,43,39
2000-01,PHI,0.6829999999999999,56,26
1999-00,PHI,0.598,49,33
1998-99 ,PHI,0.56,28,22
1997-98,PHI,0.37799999999999995,31,51
1996-97,PHI,0.268,22,60
1995-96,PHI,0.22,18,64
1994-95,PHI,0.293,24,58
1993-94,PHI,0.305,25,57
1992-93,PHI,0.317,26,56
1991-92,PHI,0.42700000000000005,35,47
1990-91,PHI,0.537,44,38
1989-90,PHI,0.6459999999999999,53,29
1988-89,PHI,0.561,46,36
1987-88,PHI,0.439,36,46
1986-87,PHI,0.5489999999999999,45,37
1985-86,PHI,0.659,54,28
1984-85,PHI,0.7070000000000001,58,24
1983-84,PHI,0.634,52,30
1982-83,PHI,0.7929999999999999,65,17
1981-82,PHI,0.7070000000000001,58,24
1980-81,PHI,0.7559999999999999,62,20
2017-18,PHX,0.256,21,61
2016-17,PHX,0.293,24,58
2015-16,PHX,0.28,23,59
2014-15,PHX,0.47600000000000003,39,43
2013-14,PHX,0.585,48,34
2012-13,PHX,0.305,25,57
2011-12 ,PHX,0.5,33,33
2010-11,PHX,0.488,40,42
2009-10,PHX,0.659,54,28
2008-09,PHX,0.561,46,36
2007-08,PHX,0.6709999999999999,55,27
2006-07,PHX,0.7440000000000001,61,21
2005-06,PHX,0.659,54,28
2004-05,PHX,0.7559999999999999,62,20
2003-04,PHX,0.354,29,53
2002-03,PHX,0.537,44,38
2001-02,PHX,0.439,36,46
2000-01,PHX,0.622,51,31
1999-00,PHX,0.6459999999999999,53,29
1998-99 ,PHX,0.54,27,23
1997-98,PHX,0.6829999999999999,56,26
1996-97,PHX,0.488,40,42
1995-96,PHX,0.5,41,41
1994-95,PHX,0.72,59,23
1993-94,PHX,0.6829999999999999,56,26
1992-93,PHX,0.7559999999999999,62,20
1991-92,PHX,0.6459999999999999,53,29
1990-91,PHX,0.6709999999999999,55,27
1989-90,PHX,0.659,54,28
1988-89,PHX,0.6709999999999999,55,27
1987-88,PHX,0.341,28,54
1986-87,PHX,0.439,36,46
1985-86,PHX,0.39,32,50
1984-85,PHX,0.439,36,46
1983-84,PHX,0.5,41,41
1982-83,PHX,0.6459999999999999,53,29
1981-82,PHX,0.561,46,36
1980-81,PHX,0.695,57,25
2017-18,POR,0.598,49,33
2016-17,POR,0.5,41,41
2015-16,POR,0.537,44,38
2014-15,POR,0.622,51,31
2013-14,POR,0.659,54,28
2012-13,POR,0.402,33,49
2011-12 ,POR,0.424,28,38
2010-11,POR,0.585,48,34
2009-10,POR,0.61,50,32
2008-09,POR,0.659,54,28
2007-08,POR,0.5,41,41
2006-07,POR,0.39,32,50
2005-06,POR,0.256,21,61
2004-05,POR,0.32899999999999996,27,55
2003-04,POR,0.5,41,41
2002-03,POR,0.61,50,32
2001-02,POR,0.598,49,33
2000-01,POR,0.61,50,32
1999-00,POR,0.72,59,23
1998-99 ,POR,0.7,35,15
1997-98,POR,0.561,46,36
1996-97,POR,0.598,49,33
1995-96,POR,0.537,44,38
1994-95,POR,0.537,44,38
1993-94,POR,0.573,47,35
1992-93,POR,0.622,51,31
1991-92,POR,0.695,57,25
1990-91,POR,0.768,63,19
1989-90,POR,0.72,59,23
1988-89,POR,0.47600000000000003,39,43
1987-88,POR,0.6459999999999999,53,29
1986-87,POR,0.598,49,33
1985-86,POR,0.488,40,42
1984-85,POR,0.512,42,40
1983-84,POR,0.585,48,34
1982-83,POR,0.561,46,36
1981-82,POR,0.512,42,40
1980-81,POR,0.5489999999999999,45,37
2017-18,SAC,0.32899999999999996,27,55
2016-17,SAC,0.39,32,50
2015-16,SAC,0.402,33,49
2014-15,SAC,0.354,29,53
2013-14,SAC,0.341,28,54
2012-13,SAC,0.341,28,54
2011-12 ,SAC,0.33299999999999996,22,44
2010-11,SAC,0.293,24,58
2009-10,SAC,0.305,25,57
2008-09,SAC,0.207,17,65
2007-08,SAC,0.46299999999999997,38,44
2006-07,SAC,0.402,33,49
2005-06,SAC,0.537,44,38
2004-05,SAC,0.61,50,32
2003-04,SAC,0.6709999999999999,55,27
2002-03,SAC,0.72,59,23
2001-02,SAC,0.7440000000000001,61,21
2000-01,SAC,0.6709999999999999,55,27
1999-00,SAC,0.537,44,38
1998-99 ,SAC,0.54,27,23
1997-98,SAC,0.32899999999999996,27,55
1996-97,SAC,0.415,34,48
1995-96,SAC,0.47600000000000003,39,43
1994-95,SAC,0.47600000000000003,39,43
1993-94,SAC,0.341,28,54
1992-93,SAC,0.305,25,57
1991-92,SAC,0.354,29,53
1990-91,SAC,0.305,25,57
1989-90,SAC,0.28,23,59
1988-89,SAC,0.32899999999999996,27,55
1987-88,SAC,0.293,24,58
1986-87,SAC,0.354,29,53
1985-86,SAC,0.451,37,45
1984-85,SAC,0.37799999999999995,31,51
1983-84,SAC,0.46299999999999997,38,44
1982-83,SAC,0.5489999999999999,45,37
1981-82,SAC,0.366,30,52
1980-81,SAC,0.488,40,42
2017-18,SAS,0.573,47,35
2016-17,SAS,0.7440000000000001,61,21
2015-16,SAS,0.8170000000000001,67,15
2014-15,SAS,0.6709999999999999,55,27
2013-14,SAS,0.7559999999999999,62,20
2012-13,SAS,0.7070000000000001,58,24
2011-12 ,SAS,0.758,50,16
2010-11,SAS,0.7440000000000001,61,21
2009-10,SAS,0.61,50,32
2008-09,SAS,0.659,54,28
2007-08,SAS,0.6829999999999999,56,26
2006-07,SAS,0.7070000000000001,58,24
2005-06,SAS,0.768,63,19
2004-05,SAS,0.72,59,23
2003-04,SAS,0.695,57,25
2002-03,SAS,0.732,60,22
2001-02,SAS,0.7070000000000001,58,24
2000-01,SAS,0.7070000000000001,58,24
1999-00,SAS,0.6459999999999999,53,29
1998-99 ,SAS,0.74,37,13
1997-98,SAS,0.6829999999999999,56,26
1996-97,SAS,0.244,20,62
1995-96,SAS,0.72,59,23
1994-95,SAS,0.7559999999999999,62,20
1993-94,SAS,0.6709999999999999,55,27
1992-93,SAS,0.598,49,33
1991-92,SAS,0.573,47,35
1990-91,SAS,0.6709999999999999,55,27
1989-90,SAS,0.6829999999999999,56,26
1988-89,SAS,0.256,21,61
1987-88,SAS,0.37799999999999995,31,51
1986-87,SAS,0.341,28,54
1985-86,SAS,0.42700000000000005,35,47
1984-85,SAS,0.5,41,41
1983-84,SAS,0.451,37,45
1982-83,SAS,0.6459999999999999,53,29
1981-82,SAS,0.585,48,34
1980-81,SAS,0.634,52,30
1979-80,SAS,0.5,41,41
2017-18,TOR,0.72,59,23
2016-17,TOR,0.622,51,31
2015-16,TOR,0.6829999999999999,56,26
2014-15,TOR,0.598,49,33
2013-14,TOR,0.585,48,34
2012-13,TOR,0.415,34,48
2011-12 ,TOR,0.348,23,43
2010-11,TOR,0.268,22,60
2009-10,TOR,0.488,40,42
2008-09,TOR,0.402,33,49
2007-08,TOR,0.5,41,41
2006-07,TOR,0.573,47,35
2005-06,TOR,0.32899999999999996,27,55
2004-05,TOR,0.402,33,49
2003-04,TOR,0.402,33,49
2002-03,TOR,0.293,24,58
2001-02,TOR,0.512,42,40
2000-01,TOR,0.573,47,35
1999-00,TOR,0.5489999999999999,45,37
1998-99 ,TOR,0.46,23,27
1997-98,TOR,0.195,16,66
1996-97,TOR,0.366,30,52
1995-96,TOR,0.256,21,61
2017-18,UTA,0.585,48,34
2016-17,UTA,0.622,51,31
2015-16,UTA,0.488,40,42
2014-15,UTA,0.46299999999999997,38,44
2013-14,UTA,0.305,25,57
2012-13,UTA,0.524,43,39
2011-12 ,UTA,0.545,36,30
2010-11,UTA,0.47600000000000003,39,43
2009-10,UTA,0.6459999999999999,53,29
2008-09,UTA,0.585,48,34
2007-08,UTA,0.659,54,28
2006-07,UTA,0.622,51,31
2005-06,UTA,0.5,41,41
2004-05,UTA,0.317,26,56
2003-04,UTA,0.512,42,40
2002-03,UTA,0.573,47,35
2001-02,UTA,0.537,44,38
2000-01,UTA,0.6459999999999999,53,29
1999-00,UTA,0.6709999999999999,55,27
1998-99 ,UTA,0.74,37,13
1997-98,UTA,0.7559999999999999,62,20
1996-97,UTA,0.78,64,18
1995-96,UTA,0.6709999999999999,55,27
1994-95,UTA,0.732,60,22
1993-94,UTA,0.6459999999999999,53,29
1992-93,UTA,0.573,47,35
1991-92,UTA,0.6709999999999999,55,27
1990-91,UTA,0.659,54,28
1989-90,UTA,0.6709999999999999,55,27
1988-89,UTA,0.622,51,31
1987-88,UTA,0.573,47,35
1986-87,UTA,0.537,44,38
1985-86,UTA,0.512,42,40
1984-85,UTA,0.5,41,41
1983-84,UTA,0.5489999999999999,45,37
1982-83,UTA,0.366,30,52
1981-82,UTA,0.305,25,57
1980-81,UTA,0.341,28,54
2017-18,WAS,0.524,43,39
2016-17,WAS,0.598,49,33
2015-16,WAS,0.5,41,41
2014-15,WAS,0.561,46,36
2013-14,WAS,0.537,44,38
2012-13,WAS,0.354,29,53
2011-12 ,WAS,0.303,20,46
2010-11,WAS,0.28,23,59
2009-10,WAS,0.317,26,56
2008-09,WAS,0.23199999999999998,19,63
2007-08,WAS,0.524,43,39
2006-07,WAS,0.5,41,41
2005-06,WAS,0.512,42,40
2004-05,WAS,0.5489999999999999,45,37
2003-04,WAS,0.305,25,57
2002-03,WAS,0.451,37,45
2001-02,WAS,0.451,37,45
2000-01,WAS,0.23199999999999998,19,63
1999-00,WAS,0.354,29,53
1998-99 ,WAS,0.36,18,32
1997-98,WAS,0.512,42,40
1996-97,WAS,0.537,44,38
1995-96,WAS,0.47600000000000003,39,43
1994-95,WAS,0.256,21,61
1993-94,WAS,0.293,24,58
1992-93,WAS,0.268,22,60
1991-92,WAS,0.305,25,57
1990-91,WAS,0.366,30,52
1989-90,WAS,0.37799999999999995,31,51
1988-89,WAS,0.488,40,42
1987-88,WAS,0.46299999999999997,38,44
1986-87,WAS,0.512,42,40
1985-86,WAS,0.47600000000000003,39,43
1984-85,WAS,0.488,40,42
1983-84,WAS,0.42700000000000005,35,47
1982-83,WAS,0.512,42,40
1981-82,WAS,0.524,43,39
1980-81,WAS,0.47600000000000003,39,43
