year,team,win_percent,wins,losses
1984-85,CHI,0.46299999999999997,38,44
1983-84,CHI,0.32899999999999996,27,55
1982-83,CHI,0.341,28,54
1981-82,CHI,0.415,34,48
1980-81,CHI,0.5489999999999999,45,37
2017-18,CLE,0.61,50,32
2016-17,CLE,0.622,51,31
2015-16,CLE,0.695,57,25
2014-15,CLE,0.6459999999999999,53,29
2013-14,CLE,0.402,33,49
2012-13,CLE,0.293,24,58
2011-12 ,CLE,0.318,21,45
2010-11,CLE,0.23199999999999998,19,63
2009-10,CLE,0.7440000000000001,61,21
2008-09,CLE,0.805,66,16
2007-08,CLE,0.5489999999999999,45,37
2006-07,CLE,0.61,50,32
2005-06,CLE,0.61,50,32
2004-05,CLE,0.512,42,40
2003-04,CLE,0.42700000000000005,35,47
2002-03,CLE,0.207,17,65
2001-02,CLE,0.354,29,53
2000-01,CLE,0.366,30,52
1999-00,CLE,0.39,32,50
1998-99 ,CLE,0.44,22,28
1997-98,CLE,0.573,47,35
1996-97,CLE,0.512,42,40
1995-96,CLE,0.573,47,35
1994-95,CLE,0.524,43,39
1993-94,CLE,0.573,47,35
1992-93,CLE,0.659,54,28
1991-92,CLE,0.695,57,25
1990-91,CLE,0.402,33,49
1989-90,CLE,0.512,42,40
1988-89,CLE,0.695,57,25
1987-88,CLE,0.512,42,40
1986-87,CLE,0.37799999999999995,31,51
1985-86,CLE,0.354,29,53
1984-85,CLE,0.439,36,46
1983-84,CLE,0.341,28,54
1982-83,CLE,0.28,23,59
1981-82,CLE,0.183,15,67
2017-18,DAL,0.293,24,58
2016-17,DAL,0.402,33,49
2015-16,DAL,0.512,42,40
2014-15,DAL,0.61,50,32
2013-14,DAL,0.598,49,33
2012-13,DAL,0.5,41,41
2011-12 ,DAL,0.545,36,30
2010-11,DAL,0.695,57,25
2009-10,DAL,0.6709999999999999,55,27
2008-09,DAL,0.61,50,32
2007-08,DAL,0.622,51,31
2006-07,DAL,0.8170000000000001,67,15
2005-06,DAL,0.732,60,22
2004-05,DAL,0.7070000000000001,58,24
2003-04,DAL,0.634,52,30
2002-03,DAL,0.732,60,22
2001-02,DAL,0.695,57,25
2000-01,DAL,0.6459999999999999,53,29
1999-00,DAL,0.488,40,42
1998-99 ,DAL,0.38,19,31
1997-98,DAL,0.244,20,62
1996-97,DAL,0.293,24,58
1995-96,DAL,0.317,26,56
1994-95,DAL,0.439,36,46
1993-94,DAL,0.159,13,69
1992-93,DAL,0.134,11,71
1991-92,DAL,0.268,22,60
1990-91,DAL,0.341,28,54
1989-90,DAL,0.573,47,35
1988-89,DAL,0.46299999999999997,38,44
1987-88,DAL,0.6459999999999999,53,29
1986-87,DAL,0.6709999999999999,55,27
1985-86,DAL,0.537,44,38
1984-85,DAL,0.537,44,38
1983-84,DAL,0.524,43,39
1982-83,DAL,0.46299999999999997,38,44
1981-82,DAL,0.341,28,54
1980-81,DAL,0.183,15,67
2017-18,DEN,0.561,46,36
2016-17,DEN,0.488,40,42
2015-16,DEN,0.402,33,49
