team_id,team
546,MIA
547,MIA
548,MIA
549,MIA
550,MIA
551,MIA
552,MIA
553,MIA
554,MIA
555,MIA
556,MIA
557,MIA
558,MIA
559,MIA
560,MIA
561,MIA
562,MIA
563,MIA
564,MIA
565,MIA
566,MIA
567,MIA
568,MIA
569,MIA
570,MIA
571,MIA
572,MIA
573,MIA
574,MIA
575,MIA
576,MIL
577,MIL
578,MIL
579,MIL
580,MIL
581,MIL
582,MIL
583,MIL
584,MIL
585,MIL
586,MIL
587,MIL
588,MIL
589,MIL
590,MIL
591,MIL
592,MIL
593,MIL
594,MIL
595,MIL
596,MIL
597,MIL
598,MIL
599,MIL
600,MIL
601,MIL
602,MIL
603,MIL
604,MIL
605,MIL
606,MIL
607,MIL
608,MIL
609,MIL
610,MIL
611,MIL
612,MIL
613,MIL
614,MIN
615,MIN
616,MIN
617,MIN
618,MIN
619,MIN
620,MIN
621,MIN
622,MIN
623,MIN
624,MIN
625,MIN
626,MIN
627,MIN
628,MIN
629,MIN
630,MIN
631,MIN
632,MIN
633,MIN
634,MIN
635,MIN
636,MIN
637,MIN
638,MIN
639,MIN
640,MIN
641,MIN
642,MIN
643,NOP
644,NOP
645,NOP
646,NOP
647,NOP
648,CHA
649,CHA
650,CHA
651,CHA
652,CHA
653,CHA
654,CHA
655,CHA
656,CHA
657,CHA
658,CHA
659,NYK
660,NYK
661,NYK
662,NYK
663,NYK
664,NYK
665,NYK
666,NYK
667,NYK
668,NYK
669,NYK
670,NYK
671,NYK
672,NYK
673,NYK
674,NYK
675,NYK
676,NYK
677,NYK
678,NYK
679,NYK
680,NYK
681,NYK
682,NYK
683,NYK
684,NYK
685,NYK
686,NYK
687,NYK
688,NYK
689,NYK
690,NYK
691,NYK
692,NYK
693,NYK
694,NYK
695,NYK
696,NYK
697,OKC
698,OKC
699,OKC
700,OKC
701,OKC
702,OKC
703,OKC
704,OKC
705,OKC
706,OKC
707,SEAs
708,SEAs
709,SEAs
710,SEAs
711,SEAs
712,SEAs
713,SEAs
714,SEAs
715,SEAs
716,SEAs
717,SEAs
718,SEAs
719,SEAs
720,SEAs
721,SEAs
722,SEAs
723,SEAs
724,SEAs
725,SEAs
726,SEAs
727,SEAs
728,SEAs
729,SEAs
730,SEAs
731,SEAs
732,SEAs
733,SEAs
734,SEAs
735,ORL
736,ORL
737,ORL
738,ORL
739,ORL
740,ORL
741,ORL
742,ORL
743,ORL
744,ORL
745,ORL
746,ORL
747,ORL
748,ORL
749,ORL
750,ORL
751,ORL
752,ORL
753,ORL
754,ORL
755,ORL
756,ORL
757,ORL
758,ORL
759,ORL
760,ORL
761,ORL
762,ORL
763,ORL
764,PHI
765,PHI
766,PHI
767,PHI
768,PHI
769,PHI
770,PHI
771,PHI
772,PHI
773,PHI
774,PHI
775,PHI
776,PHI
777,PHI
778,PHI
779,PHI
780,PHI
781,PHI
782,PHI
783,PHI
784,PHI
785,PHI
786,PHI
787,PHI
788,PHI
789,PHI
790,PHI
791,PHI
792,PHI
793,PHI
794,PHI
795,PHI
796,PHI
797,PHI
798,PHI
799,PHI
800,PHI
801,PHI
802,PHX
803,PHX
804,PHX
805,PHX
806,PHX
807,PHX
808,PHX
809,PHX
810,PHX
811,PHX
812,PHX
813,PHX
814,PHX
815,PHX
816,PHX
817,PHX
818,PHX
819,PHX
820,PHX
821,PHX
822,PHX
823,PHX
824,PHX
825,PHX
826,PHX
827,PHX
828,PHX
829,PHX
830,PHX
831,PHX
832,PHX
833,PHX
834,PHX
835,PHX
836,PHX
837,PHX
838,PHX
839,PHX
840,POR
841,POR
842,POR
843,POR
844,POR
845,POR
846,POR
847,POR
848,POR
849,POR
850,POR
851,POR
852,POR
853,POR
854,POR
855,POR
856,POR
857,POR
858,POR
859,POR
860,POR
861,POR
862,POR
863,POR
864,POR
865,POR
866,POR
867,POR
868,POR
869,POR
870,POR
871,POR
872,POR
873,POR
874,POR
875,POR
876,POR
877,POR
878,SAC
879,SAC
880,SAC
881,SAC
882,SAC
883,SAC
884,SAC
885,SAC
886,SAC
887,SAC
888,SAC
889,SAC
890,SAC
891,SAC
892,SAC
893,SAC
894,SAC
895,SAC
896,SAC
897,SAC
898,SAC
899,SAC
900,SAC
901,SAC
902,SAC
903,SAC
904,SAC
905,SAC
906,SAC
907,SAC
908,SAC
909,SAC
910,SAC
911,SAC
912,SAC
913,SAC
914,SAC
915,SAC
916,SAS
917,SAS
918,SAS
919,SAS
920,SAS
921,SAS
922,SAS
923,SAS
924,SAS
925,SAS
926,SAS
927,SAS
928,SAS
929,SAS
930,SAS
931,SAS
932,SAS
933,SAS
934,SAS
935,SAS
936,SAS
937,SAS
938,SAS
939,SAS
940,SAS
941,SAS
942,SAS
943,SAS
944,SAS
945,SAS
946,SAS
947,SAS
948,SAS
949,SAS
950,SAS
951,SAS
952,SAS
953,SAS
954,SAS
955,TOR
956,TOR
957,TOR
958,TOR
959,TOR
960,TOR
961,TOR
962,TOR
963,TOR
964,TOR
965,TOR
966,TOR
967,TOR
968,TOR
969,TOR
970,TOR
971,TOR
972,TOR
973,TOR
974,TOR
975,TOR
976,TOR
977,TOR
978,UTA
979,UTA
980,UTA
981,UTA
982,UTA
983,UTA
984,UTA
985,UTA
986,UTA
987,UTA
988,UTA
989,UTA
990,UTA
991,UTA
992,UTA
993,UTA
994,UTA
995,UTA
996,UTA
997,UTA
998,UTA
999,UTA
1000,UTA
1001,UTA
1002,UTA
1003,UTA
1004,UTA
1005,UTA
1006,UTA
1007,UTA
1008,UTA
1009,UTA
1010,UTA
1011,UTA
1012,UTA
1013,UTA
1014,UTA
1015,UTA
1016,WAS
1017,WAS
1018,WAS
1019,WAS
1020,WAS
